location,ar score,er score,fsr score,cpf score,ifr score,isr score,irn score,ger score,score scaled
Argentina,34.975,44.975,85.375,1.4500000000000002,24.525000000000002,45.625,19.775,20.925,39.575
Australia,43.89166666666667,42.87916666666666,16.474999999999998,77.16250000000001,94.77499999999999,79.90416666666667,85.79583333333333,40.208333333333336,49.5625
Austria,24.883333333333336,22.066666666666666,56.23333333333333,26.766666666666666,88.93333333333334,74.03333333333335,70.01666666666667,43.56666666666666,37.06666666666667
Belarus,24.2,39.7,96.8,1.3,3.4,48.2,46.2,29.9,36.0
Belgium,38.84285714285714,29.857142857142858,44.371428571428574,47.75714285714286,85.2,44.199999999999996,89.75714285714285,40.271428571428565,43.642857142857146
Brazil,53.379999999999995,31.240000000000002,33.12,23.220000000000002,7.3199999999999985,2.2600000000000002,75.17999999999999,30.080000000000002,36.4
Brunei,15.55,8.4,95.8,8.05,99.5,37.0,24.049999999999997,1.0,34.85
Canada,42.92941176470588,49.588235294117645,31.170588235294115,52.1,85.3529411764706,67.51764705882353,83.81176470588235,46.800000000000004,46.65294117647059
Chile,70.93333333333334,82.73333333333333,14.366666666666667,10.433333333333334,11.433333333333332,3.966666666666667,68.9,45.800000000000004,42.6
China (Mainland),34.721428571428575,30.446428571428573,41.86071428571428,79.02142857142857,25.264285714285712,12.864285714285714,65.73928571428571,28.61785714285714,43.228571428571435
Colombia,57.13333333333333,90.26666666666667,15.233333333333334,3.8333333333333335,14.200000000000001,1.7333333333333334,47.699999999999996,46.53333333333333,36.666666666666664
Cuba,20.3,25.5,69.4,1.6,1.9,4.5,25.6,55.6,25.3
Cyprus,9.0,3.1,5.1,71.7,87.6,27.4,84.2,57.4,25.1
Czech Republic,23.899999999999995,25.333333333333332,69.96666666666667,9.533333333333333,25.3,53.36666666666667,68.73333333333333,31.433333333333334,32.1
Denmark,39.68,28.439999999999998,60.36,48.86,86.96000000000001,34.14,91.7,41.08,46.86
Egypt,28.3,20.2,40.8,4.1,96.1,4.3,21.9,92.5,27.5
Estonia,25.8,10.7,88.9,14.3,40.0,24.2,88.0,79.6,35.4
Finland,28.82857142857143,29.47142857142857,46.57142857142857,54.98571428571428,51.1,10.728571428571428,82.39999999999999,31.228571428571428,38.05714285714286
France,42.46153846153846,41.08461538461539,53.93846153846154,54.02307692307692,42.79230769230769,59.69230769230769,82.1,42.07692307692308,48.04615384615385
Germany,43.41153846153846,33.646153846153844,40.957692307692305,44.08846153846154,46.45769230769231,38.33846153846154,87.96923076923076,22.76923076923077,42.18846153846154
Greece,18.7,45.7,5.3,67.9,1.4,7.5,68.9,68.0,27.3
Hong Kong SAR,67.85000000000001,40.300000000000004,70.93333333333334,78.45,99.66666666666667,92.96666666666665,61.98333333333333,67.15,71.05
India,33.975,48.1625,23.3625,79.35,3.9375,1.5875,42.2625,54.2125,39.4125
Indonesia,38.14,52.239999999999995,55.67999999999999,1.7600000000000002,51.82000000000001,3.22,25.339999999999996,27.04,34.9
"Iran, Islamic Republic of",8.3,27.6,6.300000000000001,98.94999999999999,11.85,1.85,57.45,60.95,27.950000000000003
Ireland,38.220000000000006,39.42,37.38,31.8,92.16,50.62,80.08,56.94,40.42
Israel,26.775,19.75,32.8,51.150000000000006,57.725,8.625,69.8,60.45,32.95
Italy,43.91538461538461,24.22307692307692,13.492307692307692,45.823076923076925,12.853846153846153,15.553846153846154,83.82307692307693,21.115384615384617,33.43846153846154
Japan,54.39333333333333,60.120000000000005,77.44,30.273333333333333,16.253333333333334,19.966666666666665,61.0,33.26,51.36666666666667
Kazakhstan,23.880000000000003,34.22,88.16,1.22,29.26,17.380000000000003,14.02,12.8,33.36
Lebanon,27.2,40.7,62.1,20.0,74.9,61.8,73.8,99.0,38.4
Lithuania,20.0,27.5,79.8,3.1,10.4,9.1,74.3,52.4,28.4
Macau SAR,9.5,9.8,16.4,84.0,100.0,98.2,49.2,73.8,34.9
Malaysia,41.81111111111111,58.51111111111111,60.48888888888889,19.08888888888889,43.15555555555556,69.05555555555556,62.36666666666666,21.355555555555554,44.31111111111111
Mexico,53.23333333333333,63.93333333333333,72.03333333333335,2.1999999999999997,24.099999999999998,10.333333333333334,52.699999999999996,82.23333333333333,44.46666666666667
Netherlands,44.11538461538461,34.315384615384616,36.0923076923077,68.00769230769231,83.86153846153846,61.823076923076925,87.0,34.03076923076923,49.44615384615384
New Zealand,35.825,25.6125,19.9125,38.425,99.4,76.7,64.6375,54.6,37.575
Norway,33.75,13.375,64.625,34.550000000000004,80.15,13.85,89.675,39.55,39.575
Oman,15.0,16.9,67.3,14.3,100.0,3.7,86.8,63.4,29.3
Pakistan,16.8,53.05,39.8,52.699999999999996,3.4,4.15,57.35,15.600000000000001,31.1
Peru,43.8,63.2,27.7,1.8,4.3,1.5,34.5,48.9,30.2
Philippines,32.4,47.6,46.8,1.8,2.1,1.3,41.1,46.4,27.7
Poland,43.45,59.2,50.5,6.85,6.8,10.600000000000001,80.4,46.15,35.85
Portugal,35.5,19.65,16.15,45.800000000000004,13.325,39.425,91.675,40.95,31.35
Qatar,24.4,33.2,61.1,36.9,100.0,94.8,90.1,1.1,42.6
Russia,22.529411764705884,22.15294117647059,92.2764705882353,6.170588235294118,18.01764705882353,64.13529411764705,56.694117647058825,28.68235294117647,35.205882352941174
Saudi Arabia,27.18,24.580000000000002,71.44,26.939999999999998,99.03999999999999,25.580000000000002,68.34,33.8,39.42
Singapore,94.95,85.1,81.5,92.94999999999999,100.0,73.8,89.75,92.1,90.55000000000001
South Africa,27.1,36.7,17.975,36.150000000000006,64.675,26.675,90.4,68.675,30.05
South Korea,37.7235294117647,47.04117647058824,78.96470588235294,38.1764705882353,17.84705882352941,26.45294117647059,43.13529411764706,32.32941176470588,45.65882352941177
Spain,40.96666666666667,37.699999999999996,33.958333333333336,27.641666666666666,25.28333333333333,32.25833333333333,78.99166666666666,33.74166666666667,35.541666666666664
Sweden,42.225,34.0125,53.762499999999996,51.4625,82.1875,61.525,91.5375,45.475,48.7625
Switzerland,47.625,38.25,68.825,78.0125,99.9875,79.4125,84.4625,53.625,61.525
Taiwan,33.89,46.93,50.7,31.420000000000005,19.59,22.14,37.04,30.71,36.940000000000005
Thailand,52.8,53.25,56.95,5.7,7.65,3.6,67.15,50.949999999999996,39.75
Turkey,20.4,36.3,31.2,23.4,30.3,10.6,42.6,24.0,24.9
United Arab Emirates,20.533333333333335,29.2,59.1,26.900000000000002,100.0,69.3,57.93333333333333,60.633333333333326,36.96666666666667
United Kingdom,46.65652173913043,51.29347826086956,40.52173913043478,54.04130434782609,93.25,88.18260869565218,84.79347826086956,38.28913043478261,52.04130434782609
United States,50.97283950617284,43.782716049382714,53.92345679012346,58.52716049382716,46.449382716049385,40.7358024691358,83.10246913580247,59.017283950617276,51.87160493827161
Uruguay,14.15,18.05,81.05000000000001,1.15,23.3,2.75,2.0,78.8,25.299999999999997
