university_name,arts_and_humanities,business_and_economics,clinical_preclinical_and_health,computer_science,education,engineering_and_technology,law,life_sciences,phyiscal_sciences,psychology,social_sciences
AGH University of Science and Technology,,,,25.95,,13.85,,,25.25,,23.2
Aalborg University,27.45,45.55,37.6,45.5,32.599999999999994,55.9,,,,35.35,44.25
Aalto University,38.6,60.7,,61.8,,52.25,,,,,
Aarhus University,45.8,45.55,47.8,53.1,52.1,45.1,21.6,60.2,55.05,52.1,56.4
Aberystwyth University,23.85,,,,,,,47.15,45.2,,41.75
Acharya Nagarjuna University,,,,,,,,,14.15,,
Acıbadem University,,,21.5,,,,,,,,
"Adam Mickiewicz University, Poznań",15.85,,,,27.25,,,26.4,25.25,21.25,23.2
Aichi Medical University,,,21.5,,,,,,,,
Ain Shams University,,,37.6,25.95,,22.65,,15.2,,,
Aix-Marseille University,30.6,17.200000000000003,40.2,30.7,36.75,32.7,,43.7,41.25,35.35,35.85
Ajou University,,,27.55,17.299999999999997,,22.65,,,14.15,,23.2
Akdeniz University,,,21.5,,,13.85,,15.2,14.15,,
Akita University,,,21.5,,,13.85,,,14.15,,
Al-Azhar University,,,27.55,,,13.85,,,,,
Al-Farabi Kazakh National University,,,,,,22.65,,,14.15,,
Alexandria University,,,34.3,25.95,,22.65,,15.2,14.15,,
Alexandru Ioan Cuza University,15.85,17.200000000000003,,,,,,,14.15,,15.3
Alfaisal University,,,37.6,,,,,38.9,,,
Aligarh Muslim University,,,21.5,,,22.65,,38.9,32.05,,
Alzahra University,,,,,,22.65,,,14.15,,
Amedeo Avogadro University of Eastern Piedmont,,,30.75,,,,,32.650000000000006,36.35,,
American University,15.85,31.6,,,32.599999999999994,,46.2,,,21.25,35.85
American University in Cairo,,,,,,22.65,,,25.25,,15.3
American University of Beirut,23.85,31.6,40.2,30.7,32.599999999999994,28.8,,26.4,25.25,,32.3
American University of Sharjah,,35.45,,,,22.65,,,14.15,,
Amirkabir University of Technology,,31.6,,30.7,,36.7,,,32.05,,
Amity University,,17.200000000000003,21.5,17.299999999999997,,13.85,,15.2,14.15,,
Amrita Vishwa Vidyapeetham,,,37.6,30.7,,32.7,,,25.25,,
Anadolu University,,,21.5,,17.950000000000003,13.85,,,14.15,,
Andhra University,,,,,,13.85,,,14.15,,
Andrés Bello University (UNAB),,,21.5,,,,,15.2,25.25,,
Anglia Ruskin University ARU,,38.85,45.5,,,,,,,31.25,27.75
Ankara University,,,21.5,,17.950000000000003,13.85,,15.2,14.15,,15.3
Anna University,,,,,,22.65,,,,,
Annamalai University,,,21.5,,,13.85,,26.4,14.15,,
Aoyama Gakuin University,,,,,,22.65,,,,,
Aristotle University of Thessaloniki,23.85,,34.3,30.7,32.599999999999994,36.7,,15.2,32.05,21.25,
Arizona State University (Tempe),38.6,61.9,37.6,51.1,68.9,57.1,,54.45,52.6,60.7,58.2
"Asia University, Taiwan",,,30.75,25.95,,,,15.2,,,
Assiut University,,,21.5,,,22.65,,15.2,14.15,,
Aston University,,48.65,34.3,30.7,,28.8,,,,43.6,35.85
Aswan University,,,,,,36.7,,,32.05,,
Athens University of Economics and Business,,17.200000000000003,,35.15,,,,,,,
Atılım University,,,,,,,,,25.25,,
Auburn University,15.85,31.6,30.75,,27.25,32.7,,26.4,36.35,41.2,23.2
Auckland University of Technology,23.85,31.6,47.8,25.95,32.599999999999994,28.8,,38.9,,21.25,27.75
Austral University of Chile,,,21.5,,,,,26.4,25.25,,15.3
Australian Catholic University,30.6,,34.3,,39.2,,,43.7,,41.2,
Australian National University,64.6,58.9,54.5,58.2,,57.8,56.7,69.2,73.5,58.2,73.1
Autonomous University of Baja California,,,,,,13.85,,15.2,14.15,,
Autonomous University of Barcelona,42.75,48.65,47.8,38.7,44.3,42.75,,47.15,50.75,38.45,50.45
Autonomous University of Hidalgo State (UAEH),,,,,,,,15.2,14.15,,
Autonomous University of Madrid,30.6,31.6,43.85,30.7,47.85,32.7,21.6,43.7,45.2,38.45,38.75
Autonomous University of Nuevo León,,,21.5,,,13.85,,15.2,14.15,,
Autonomous University of Puebla,,,,,,13.85,,15.2,14.15,,
Autonomous University of Querétaro,,,,,,13.85,,15.2,,,
Autonomous University of San Luis Potosi,,,21.5,,,13.85,,15.2,14.15,,
Autonomous University of Yucatán,,,,,,,,15.2,,,
Autonomous University of the State of Mexico,,,,,,13.85,,15.2,14.15,,15.3
Azarbaijan Shahid Madani University,,,,,,22.65,,,14.15,,
Babeş-Bolyai University,15.85,17.200000000000003,,17.299999999999997,27.25,28.8,,26.4,14.15,31.25,15.3
Babol Noshirvani University of Technology,,,,,,40.0,,,45.2,,
Bahauddin Zakariya University,,,,,,22.65,,15.2,14.15,,
Bahçeşehir University,,,21.5,,,,,,,,
Banaras Hindu University,,,34.3,,,,,32.650000000000006,25.25,,23.2
Banasthali University,,,,,,,,,14.15,,
Bandung Institute of Technology (ITB),,17.200000000000003,,25.95,,22.65,,,14.15,,
Bangor University,23.85,31.6,30.75,,,,,43.7,41.25,41.2,32.3
Bar-Ilan University,38.6,17.200000000000003,34.3,35.15,32.599999999999994,,21.6,32.650000000000006,36.35,38.45,32.3
Bashkir State University,,,,,,,,,14.15,,
Bauman Moscow State Technical University,,,,25.95,,28.8,,,25.25,,
Baylor University,23.85,27.05,37.6,,17.950000000000003,22.65,,,25.25,31.25,23.2
Başkent University,,,21.5,,,,,,,,
Beihang University,,31.6,,35.15,,40.0,,,25.25,,32.3
Beijing Institute of Technology,,35.45,,30.7,,42.75,,32.650000000000006,25.25,,27.75
Beijing Jiaotong University,,17.200000000000003,,25.95,,22.65,,,14.15,,
Beijing Normal University,35.599999999999994,38.85,,25.95,64.9,42.75,,43.7,48.25,51.2,44.25
Belarusian State University,,,,,,22.65,,,14.15,,
Belgorod State National Research University,,,,,,36.7,,,25.25,,
Benha University,,,21.5,,,32.7,,15.2,32.05,,
Beni-Suef University,,,21.5,,,36.7,,15.2,41.25,,
Bielefeld University,30.6,,,35.15,41.1,,,38.9,36.35,38.45,38.75
Bilkent University,23.85,27.05,,25.95,,40.0,,,36.35,,27.75
"Binghamton University, State University of New York",15.85,27.05,27.55,41.5,27.25,45.1,,,36.35,31.25,32.3
"Birkbeck, University of London",45.8,35.45,,,44.3,,,,,52.3,38.75
"Birla Institute of Technology and Science, Pilani",,,,,,22.65,,26.4,14.15,,
Birmingham City University,,,,,,,,,,,23.2
Bond University,,27.05,34.3,,,,,,,21.25,23.2
Boston College,35.599999999999994,57.6,34.3,,67.7,,32.3,,45.2,46.55,38.75
Boston University,42.75,63.5,66.8,54.5,53.9,49.1,46.9,62.1,57.8,56.0,50.45
Bournemouth University,,38.85,27.55,25.95,,,,26.4,,31.25,32.3
Boğaziçi University,23.85,17.200000000000003,,30.7,36.75,36.7,,,32.05,,27.75
Brandeis University,23.85,,,,,,,47.15,48.25,35.35,32.3
Brighton and Sussex Medical School,,,47.8,,,,,,,,
Brno University of Technology,,17.200000000000003,,25.95,,22.65,,,,,
Brown University,57.1,,60.7,57.5,53.9,57.6,,58.3,61.7,64.9,58.0
Brunel University London,23.85,41.45,34.3,41.5,44.3,42.75,,26.4,41.25,38.45,35.85
Bu-Ali Sina University,,,,,,28.8,,15.2,25.25,,
Bucharest University of Economic Studies,,17.200000000000003,,,,,,,,,15.3
Budapest University of Technology and Economics,,,,,,22.65,,,25.25,,27.75
COMSATS University Islamabad,,31.6,,35.15,,40.0,,26.4,36.35,,
Cairo University,,17.200000000000003,45.5,38.7,,22.65,,15.2,14.15,,15.3
California Institute of Technology,,,,86.2,,95.4,,93.1,95.7,,
"California State University, Long Beach",15.85,,,,41.1,,,,25.25,21.25,15.3
Canterbury Christ Church University,,,,,27.25,,,,,21.25,15.3
Capital Medical University,,,27.55,,,,,15.2,,,
Cardiff University,35.599999999999994,48.65,40.2,38.7,36.75,46.75,37.0,54.45,50.75,63.3,50.45
Carleton University,15.85,17.200000000000003,,35.15,,42.75,21.6,43.7,41.25,38.45,27.75
Carlos III University of Madrid,23.85,38.85,,35.15,,28.8,21.6,,25.25,,27.75
Carnegie Mellon University,55.0,71.2,,89.1,,85.5,,57.0,68.5,73.0,63.3
Case Western Reserve University,23.85,43.3,52.5,,,49.1,,43.7,48.25,41.2,32.3
Catholic University of Portugal,,31.6,,,,,,,,,
Catholic University of the North,,,,,,,,26.4,14.15,,
Catholic University of the Sacred Heart,15.85,27.05,30.75,,,,21.6,,,31.25,23.2
Ca’ Foscari University of Venice,30.6,27.05,,,,,,,25.25,,27.75
Ceará State University,,,21.5,,,,,15.2,,,
Central Queensland University,,27.05,21.5,,27.25,36.7,,,,,23.2
Central South University,,43.3,40.2,45.5,,42.75,,38.9,41.25,,32.3
Centrale Nantes,,,,35.15,,45.1,,,41.25,,
CentraleSupélec,,,,,,45.1,,,,,
Chalmers University of Technology,,43.3,,54.4,,60.1,,,50.75,,
Chang Gung University,,,34.3,17.299999999999997,,22.65,,26.4,,,
Chaoyang University of Technology,,,,17.299999999999997,,,,,,,
Charité - Universitätsmedizin Berlin,,,63.3,,,,,,,,
Charles Darwin University,,,34.3,,17.950000000000003,,,,,,27.75
Charles University in Prague,35.599999999999994,45.55,34.3,30.7,32.599999999999994,,21.6,38.9,36.35,31.25,27.75
Chemnitz University of Technology,,17.200000000000003,,17.299999999999997,,36.7,,,25.25,38.45,32.3
Chiang Mai University,,,27.55,17.299999999999997,,13.85,,15.2,14.15,,32.3
Chiba Institute of Technology,,,,,,13.85,,,,,
Chiba University,,,30.75,,,13.85,,32.650000000000006,25.25,,
China Agricultural University,,27.05,,,,13.85,,43.7,32.05,,32.3
"China Medical University, Taiwan",,,40.2,,,,,32.650000000000006,,,
China Pharmaceutical University,,,27.55,,,28.8,,26.4,,,
"China University of Geosciences, Beijing",,,,17.299999999999997,,28.8,,,25.25,,15.3
"China University of Geosciences, Wuhan",,,,17.299999999999997,,22.65,,,36.35,,15.3
China University of Mining and Technology,,,,25.95,,28.8,,26.4,32.05,,15.3
"China University of Petroleum, Beijing",,,,,,32.7,,,32.05,,
Chinese University of Hong Kong,54.1,59.5,63.0,74.3,68.3,58.7,41.6,54.45,62.6,58.1,62.1
Chongqing University,15.85,31.6,,25.95,,32.7,,26.4,25.25,,27.75
Chonnam National University,,,30.75,17.299999999999997,,22.65,,15.2,25.25,,
Chubu University,,,,,,13.85,,,,,
Chulalongkorn University,,17.200000000000003,40.2,17.299999999999997,44.3,22.65,,26.4,14.15,,27.75
Chung Yuan Christian University,,17.200000000000003,,17.299999999999997,,22.65,,,14.15,,
Chung-Ang University,,31.6,27.55,35.15,41.1,32.7,,,32.05,,38.75
Chungnam National University,,,21.5,17.299999999999997,,22.65,,15.2,14.15,,
Chuo University,,,,,,13.85,,,14.15,,
City University of Hong Kong,38.6,59.7,,51.1,,63.3,66.9,50.0,59.4,,50.45
"City, University of London",,48.65,34.3,30.7,41.1,28.8,,,,43.6,44.25
Clark University,,,,,,,,,,38.45,44.25
Claude Bernard University Lyon 1,,,42.2,30.7,,28.8,,43.7,41.25,,
