"country","rank2021","rank2020","pop2022"
"United States","1","1","338289.8570"
"United Kingdom","2","2","67508.9360"
"Germany","3","4","83369.8430"
"Canada","4","3","38454.3270"
"France","5","5","64626.6280"
"Switzerland","6","6","8740.4720"
"Japan","7","11","123951.6920"
"Australia","8","7","26177.4130"
"Sweden","9","8","10549.3470"
"Netherlands","10","9","17564.0140"
"New Zealand","11","14","5185.2880"
"Denmark","12","10","5882.2610"
"Norway","13","12","5434.3190"
"Italy","14","16","59037.4740"
"Finland","15","15","5540.7450"
"Austria","16","13","8939.6170"
"Spain","17","18","47558.6300"
"Belgium","18","","11655.9300"
"South Korea","19","22","51815.8100"
"Ireland","20","","5023.1090"
"Singapore","21","19","5975.6890"
"China","22","24","1425887.3370"
"Russia","23","21","144713.3140"
"Israel","24","25","9038.3090"
"Portugal","25","20","10270.8650"
"Poland","26","23","39857.1450"
"United Arab Emirates","27","28","9441.1290"
"Greece","28","26","10384.9710"
"Hungary","30","","9967.3080"
"Turkey","31","31","85341.2410"
"India","32","34","1417173.1730"
"South Africa","33","32","59893.8850"
"Argentina","34","29","45510.3180"
"Saudi Arabia","35","46","36408.8200"
"Brazil","36","30","215313.4980"
"Mexico","37","36","127504.1250"
"Malaysia","38","39","33938.2210"
"Egypt","39","42","110990.1030"
"Ukraine","40","38","39701.7390"
"Qatar","41","37","2695.1220"
"Lithuania","42","45","2750.0550"
"Croatia","43","33","4030.3580"
"Estonia","44","47","1326.0620"
"Slovakia","45","44","5643.4530"
"Thailand","46","48","71697.0300"
"Romania","47","40","19659.2670"
"Chile","48","35","19603.7330"
"Bulgaria","49","43","6781.9530"
"Latvia","50","50","1850.6510"
"Colombia","51","49","51874.0240"
"Belarus","52","51","9534.9540"
"Slovenia","53","41","2119.8440"
"Indonesia","54","55","275501.3390"
"Philippines","55","52","115559.0090"
"Uruguay","56","","3422.7940"
"Morocco","57","57","37457.9710"
"Jordan","58","53","11285.8690"
"Vietnam","59","64","98186.8560"
"Panama","60","56","4408.5810"
"Costa Rica","61","54","5180.8290"
"Oman","62","62","4576.2980"
"Serbia","63","58","7221.3650"
"Peru","64","59","34049.5880"
"Azerbaijan","65","61","10358.0740"
"Sri Lanka","66","67","21832.1430"
"Tunisia","67","63","12356.1170"
"Kenya","68","68","54027.4870"
"Dominican Republic","69","60","11228.8210"
"Lebanon","70","69","5489.7390"
"Kazakhstan","71","70","19397.9980"
"Uzbekistan","72","","34627.6520"
"Ecuador","73","65","18001"
"El Salvador","74","","6336.3920"
"Cambodia","75","","16767.8420"
"Myanmar","76","71","54179.3060"
"Iraq","77","","44496.1220"
"Guatemala","78","73","17843.9080"
