,location
United States,82
United Kingdom,46
China (Mainland),28
Germany,28
Australia,24
South Korea,17
Canada,17
Russia,17
Japan,15
Netherlands,13
Italy,13
France,12
Spain,12
Hong Kong SAR,10
Taiwan,10
Malaysia,9
New Zealand,8
Sweden,8
India,8
Switzerland,8
Finland,7
Belgium,7
Austria,6
Denmark,5
Ireland,5
Saudi Arabia,5
Brazil,5
Argentina,5
Kazakhstan,5
Indonesia,5
Portugal,4
Israel,4
South Africa,4
Norway,4
Chile,3
Pakistan,3
Czech Republic,3
United Arab Emirates,3
Colombia,3
Singapore,2
Thailand,2
Brunei,2
Poland,2
Uruguay,2
"Iran, Islamic Republic of",2
Cuba,1
Lithuania,1
Cyprus,1
Greece,1
Egypt,1
Philippines,1
Estonia,1
Oman,1
Peru,1
Macau SAR,1
Qatar,1
Belarus,1
Lebanon,1
Mexico,1
Turkey,1
