location,QS2023 Academic Reputation,QS2023 Employer Reputation,QS2023 Faculty Student Ratio,QS2023 Citations per Faculty,QS2023 International Research Network,QS2023 Employment Outcomes,QS2023 Score,QS2022 Academic Reputation,QS2022 Employer Reputation,QS2022 Faculty Student Ratio,QS2022 Citations per Faculty,QS2022 Score,THE2020 Arts,THE2020 Business/Economics,THE2020 Medicine,THE2020 Computer Science,THE2020 Education,THE2020 Engineering,THE2020 Law,THE2020 Life Sciences,THE2020 Physical Sciences,THE2020 Psychology,THE2020 Social Sciences,ARWU2018 Academic Performance per Capita
Argentina,14.665217391304349,16.55217391304348,39.06956521739131,1.856521739130435,16.736363636363635,16.004347826086956,36.760000000000005,13.92608695652174,18.369565217391305,40.05217391304348,1.8956521739130436,36.519999999999996,,,,,,,,,,,,
Armenia,6.2,3.9,41.0,1.7,20.6,80.0,,6.1,4.9,49.9,1.5,,,,,,,,,,,,,
Australia,30.42105263157895,29.986842105263158,12.378947368421052,59.17368421052631,74.23947368421052,27.918421052631583,49.5625,31.384210526315787,33.205263157894734,13.323684210526316,54.828947368421055,47.81923076923077,31.876470588235293,39.911764705882355,39.77894736842105,41.92857142857143,44.62222222222223,45.63333333333333,40.63636363636363,50.48125,47.22666666666667,37.333333333333336,38.15882352941177,27.605555555555554
Austria,22.375,17.6375,44.825,22.9,68.3625,36.6,37.06666666666667,22.837500000000002,17.8125,43.8375,27.200000000000003,40.06,66.1,55.6,,41.9,39.2,36.7,46.4,60.4,47.46666666666667,55.6,48.725,26.9
Azerbaijan,7.550000000000001,3.55,24.65,1.2000000000000002,6.05,26.9,,6.2,4.300000000000001,22.35,1.15,,,,,,,,,,,,,
Bahrain,12.35,14.45,21.2,1.75,14.25,1.1,,11.149999999999999,13.600000000000001,20.9,1.6,,,,,,,,,,,,,
Bangladesh,13.25,29.225,14.175,3.875,15.9,38.6,,12.425,25.85,15.425,3.4,,,,27.55,17.299999999999997,,13.85,,15.2,14.15,,15.3,
Belarus,13.9,27.566666666666666,50.46666666666667,1.2333333333333334,19.0,31.933333333333334,36.0,12.299999999999999,29.900000000000002,49.800000000000004,1.2666666666666666,34.9,,,,,,22.65,,,14.15,,,
Belgium,32.855555555555554,28.27777777777778,36.68888888888889,45.077777777777776,84.38888888888889,34.87777777777777,43.642857142857146,33.266666666666666,26.200000000000003,39.111111111111114,50.15555555555555,42.3375,51.56666666666666,48.5,51.03333333333333,50.416666666666664,59.4,52.06666666666666,46.699999999999996,60.28333333333333,56.31666666666666,63.9,54.20000000000001,31.225
Bolivia,5.05,4.2,2.4,1.35,12.600000000000001,1.0,,5.15,5.25,2.95,1.2000000000000002,,,,,,,,,,,,,
Bosnia and Herzegovina,4.8,3.2,4.1,2.1,38.9,,,4.6,3.8,4.3,2.1,,,,,,,,,,,,,
Brazil,19.374074074074073,9.72962962962963,18.885185185185186,9.092592592592593,45.603846153846156,14.018518518518519,36.4,18.692592592592593,10.4,19.72962962962963,9.355555555555556,35.68,,,,,,,,,,,,23.0
Brunei,15.55,8.4,95.8,8.05,24.049999999999997,1.0,34.85,16.3,10.8,95.1,7.5,35.15,,,,,,,,,,,,
Bulgaria,14.4,21.0,64.3,2.0,36.8,54.0,,14.0,15.0,60.6,2.0,,,,,,,,,,,,,
Canada,30.50740740740741,37.14074074074074,23.892592592592592,44.41851851851852,76.02962962962964,36.477777777777774,46.65294117647059,30.27777777777778,37.955555555555556,24.988888888888887,47.596296296296295,47.629411764705885,30.645,37.904761904761905,49.134375,43.959999999999994,40.846875000000004,42.815909090909095,43.81111111111111,46.990476190476194,43.625,42.51190476190476,36.83095238095238,23.338461538461537
Chile,20.285,27.115,8.004999999999999,5.795,38.05,12.17,42.6,19.315,29.445,8.45,6.16,41.333333333333336,,,34.3,,,,,,,,,
China (Mainland),19.853448275862068,17.074137931034482,32.074137931034485,55.55344827586207,51.550000000000004,19.344827586206897,43.228571428571435,20.455172413793104,16.03965517241379,33.18793103448276,52.5948275862069,43.78846153846154,37.57727272727273,38.404545454545456,41.27619047619047,38.51,46.33,46.89861111111111,43.3,42.193333333333335,40.08529411764706,30.675,33.08148148148148,16.268571428571427
Colombia,18.431578947368422,34.98421052631579,16.857894736842105,2.373684210526316,19.272222222222222,20.47894736842105,36.666666666666664,17.289473684210527,37.32105263157895,17.18421052631579,2.4,34.9,,,,,,,,,,,,
Costa Rica,16.133333333333333,34.13333333333333,23.066666666666666,1.5666666666666667,20.0,65.8,,15.366666666666667,35.333333333333336,24.166666666666668,1.5333333333333332,,,,,,,,,,,,,
Croatia,7.4750000000000005,3.4,21.625,3.7249999999999996,54.725,65.275,,7.3,3.3,25.475,3.6,,15.85,17.200000000000003,26.125,17.299999999999997,17.950000000000003,18.25,21.6,27.049999999999997,32.05,,15.3,
Cuba,10.9,9.366666666666667,63.199999999999996,1.3,15.200000000000001,46.46666666666667,25.3,10.133333333333335,9.766666666666667,61.20000000000001,1.3666666666666665,,,,,,,,,,,,,
Cyprus,9.0,3.1,5.1,71.7,84.2,57.4,25.1,9.0,4.2,5.5,81.2,26.3,,,,,,,,,,,,
Czech Republic,11.433333333333334,12.139999999999999,33.586666666666666,6.873333333333334,52.513333333333335,18.373333333333335,32.1,11.553333333333335,12.906666666666666,34.14,7.453333333333333,31.53333333333333,23.85,17.200000000000003,25.325,24.974999999999998,27.25,18.25,32.3,20.93,19.36111111111111,35.35,20.566666666666666,
Denmark,39.68,28.439999999999998,60.36,48.86,91.7,41.08,46.86,40.2,34.160000000000004,62.879999999999995,51.1,48.44,40.949999999999996,45.55,44.725,48.833333333333336,42.349999999999994,53.86666666666667,37.0,61.35,57.03333333333333,43.725,54.31666666666666,30.675
Ecuador,8.842857142857143,12.12857142857143,14.8,1.9428571428571428,16.62857142857143,18.814285714285713,,7.8428571428571425,11.071428571428571,15.9,1.8285714285714285,,,,,,,,,,,,,
Egypt,13.092307692307692,9.292307692307691,12.161538461538461,2.2153846153846155,49.13846153846154,18.692307692307693,27.5,12.407692307692308,8.507692307692308,12.307692307692308,2.1846153846153844,26.1,,17.200000000000003,35.79,38.7,,24.130000000000003,,15.2,14.15,,15.3,18.8
Estonia,15.666666666666666,8.933333333333334,40.166666666666664,10.866666666666667,66.16666666666667,86.83333333333333,35.4,15.633333333333333,11.966666666666667,39.666666666666664,13.133333333333333,34.7,27.45,38.85,34.3,41.5,27.25,,,50.0,41.25,38.45,32.3,17.5
