Country,ar score_QS2023,er score_QS2023,fsr score_QS2023,cpf score_QS2023,ifr score_QS2023,isr score_QS2023,irn score,ger score,score scaled_QS2023,ar score_QS2022,er score_QS2022,fsr score_QS2022,cpf score_QS2022,ifr score_QS2022,isr score_QS2022,score scaled_QS2022,ARTU Rank,arts_and_humanities,business_and_economics,clinical_preclinical_and_health,computer_science,education,engineering_and_technology,law,life_sciences,phyiscal_sciences,psychology,social_sciences,PCP,Alumni Awards Count,Award,PUB,N&S,Hi Ci,Expenditure (constant US$ millions),Global University Employability Rank 2020,impact_P,collab_P,oa_P
Argentina,34.975,44.975,85.375,1.45,24.525,45.625,19.775,20.925,39.575,28.32,41.7,88.62,1.36,14.28,43.06,36.52,,15.85,,21.5,,,18.25,,15.2,19.7,21.25,19.25,22,14.4,23.7,35.7,8.7,0,5151.58676,140,1548.75,1548.75,1548.75
Australia,43.89166667,42.87916667,16.475,77.1625,94.775,79.90416667,85.79583333,40.20833333,49.5625,42.87692308,44.79230769,16.87692308,68.65,96.40769231,81.07692308,47.81923077,183.04,30.6,38.85,38.9,41.5,41.1,46.75,45.4,47.15,50.75,35.35,38.75,27.10869565,4.347826087,2,44.27391304,13.2173913,19.44782609,16031.0213,15,2381.104575,2381.104575,2381.104575
Austria,24.88333333,22.06666667,56.23333333,26.76666667,88.93333333,74.03333333,70.01666667,43.56666667,37.06666667,29.7,25.42,55.72,33.12,82.84,71.32,40.06,269,30.6,35.225,37.6,40.1,39.2,36.7,46.4,38.9,38.8,43.6,41.75,24.05,4.9,4.65,28.98333333,13.26666667,12.21666667,7447.18048,95,1279.731481,1279.731481,1279.731481
Belarus,24.2,39.7,96.8,1.3,3.4,48.2,46.2,29.9,36,21.5,40.2,98,1.4,1.4,43,34.9,,,,,,,22.65,,,14.15,,,,,,,,,,,,,
Belgium,38.84285714,29.85714286,44.37142857,47.75714286,85.2,44.2,89.75714286,40.27142857,43.64285714,36.7625,27.65,43.45,50.025,73.4125,46.4,42.3375,194.875,35.6,41.45,41.2,41.5,52.4,42.75,38.3,47.15,50.425,40.95,47.15,29.78571429,7.942857143,7.5,42.17142857,14.04285714,16.42857143,7805.06808,54,3209.670139,3209.670139,3209.670139
Brazil,53.38,31.24,33.12,23.22,7.32,2.26,75.18,30.08,36.4,51.1,31.62,34.48,23.92,2.38,2.8,35.68,213,15.85,17.2,21.5,17.3,17.95,13.85,45,15.2,14.15,21.25,15.3,20.63333333,0,0,48.68333333,7.25,0,25488.89488,109,1380.819841,1380.819841,1380.819841
Brunei,15.55,8.4,95.8,8.05,99.5,37,24.05,1,34.85,16.3,10.8,95.1,7.5,99.85,37.3,35.15,,,,,,,,,,,,,,,,,,,,,,,
Canada,42.92941176,49.58823529,31.17058824,52.1,85.35294118,67.51764706,83.81176471,46.8,46.65294118,42.5,50.53529412,32.14117647,56.79411765,82.39411765,69.13529412,47.62941176,178.5882353,27.45,31.6,43.85,36.925,39.2,36.7,39.7,43.7,41.25,38.45,32.3,22.89444444,6.877777778,4.166666667,46.27222222,15.26666667,17.60555556,27423.89766,8,2840.78853,2840.78853,2840.78853
Chile,70.93333333,82.73333333,14.36666667,10.43333333,11.43333333,3.966666667,68.9,45.8,42.6,67.96666667,84.33333333,14.46666667,11.36666667,3.866666667,3.733333333,41.33333333,345.5,15.85,22.125,24.525,35.15,27.35,22.65,21.6,15.2,25.25,21.25,19.25,18,3.6,0,35.25,10.05,0,3793.03305,160,1218.104167,1218.104167,1218.104167
China (Mainland),34.72142857,30.44642857,41.86071429,79.02142857,25.26428571,12.86428571,65.73928571,28.61785714,43.22857143,37.45,29.47307692,43.65384615,75.77692308,20.94615385,14.85,43.78846154,,,,,,,,,,,,,,,,,,,,,,,
Colombia,57.13333333,90.26666667,15.23333333,3.833333333,14.2,1.733333333,47.7,46.53333333,36.66666667,53.4,91,15.63333333,4.133333333,5.1,1.633333333,34.9,,15.85,24.4,27.55,24,27.25,18.25,,15.2,19.7,,15.3,,,,,,,3248.3248,,664.1203704,664.1203704,664.1203704
Cuba,20.3,25.5,69.4,1.6,1.9,4.5,25.6,55.6,25.3,,,,,,,,,,,,,,,,,14.15,,,,,,,,,,,,,
Cyprus,9,3.1,5.1,71.7,87.6,27.4,84.2,57.4,25.1,9,4.2,5.5,81.2,72.7,24.3,26.3,372,27.45,27.05,,30.55,44.3,31.325,,,30.8,41.2,,,,,,,,,,620.5833333,620.5833333,620.5833333
Czech Republic,23.9,25.33333333,69.96666667,9.533333333,25.3,53.36666667,68.73333333,31.43333333,32.1,24.03333333,26.96666667,70.06666667,10.3,8.6,52.03333333,31.53333333,308,23.85,17.2,24.525,25.95,27.25,13.85,26.95,20.8,14.15,33.3,23.2,19.9,8.8,0,46.9,8.9,13.5,,232,1318.52381,1318.52381,1318.52381
Denmark,39.68,28.44,60.36,48.86,86.96,34.14,91.7,41.08,46.86,40.2,34.16,62.88,51.1,83.66,35.16,48.44,158,36.625,45.55,40.2,46.7,32.6,50.5,37,60.2,55.05,38.45,45.7,28.8,7.6,10.36,48.82,19.08,20.78,7475.98807,107,3973.211111,3973.211111,3973.211111
Egypt,28.3,20.2,40.8,4.1,96.1,4.3,21.9,92.5,27.5,26.8,20.9,37.8,4.2,92,3.7,26.1,,,17.2,24.525,25.95,,22.65,,15.2,19.7,,15.3,18.8,19,0,35.9,2.6,0,,,828.6694444,828.6694444,828.6694444
Estonia,25.8,10.7,88.9,14.3,40,24.2,88,79.6,35.4,26,13.5,88.3,15.2,17.5,24.9,34.7,281,25.65,28.025,34.3,33.725,22.6,22.65,,50,33.25,38.45,32.3,17.5,0,0,26.1,11.5,21.4,352.05769,,1147.861111,1147.861111,1147.861111
Finland,28.82857143,29.47142857,46.57142857,54.98571429,51.1,10.72857143,82.4,31.22857143,38.05714286,29.45714286,27.97142857,48.5,55.14285714,37.68571429,11.71428571,37.94285714,263.3333333,27.45,35.45,37.25,38.7,36.75,45.1,43.9,43.7,36.35,41.2,35.525,21.36,3.66,4.16,37.66,12.12,15.76,4080.04121,49,2088.3125,2088.3125,2088.3125
France,42.46153846,41.08461538,53.93846154,54.02307692,42.79230769,59.69230769,82.1,42.07692308,48.04615385,46.9,45.65454545,59.68181818,49.77272727,32.4,59.06363636,49.98181818,148.5,25.65,17.2,38.9,35.15,27.25,32.7,43.55,43.7,41.25,21.25,30.025,26.47222222,15.02222222,15.55555556,36.69444444,16.17222222,8.988888889,32897.84815,22,2824.419444,2824.419444,2824.419444
Germany,43.41153846,33.64615385,40.95769231,44.08846154,46.45769231,38.33846154,87.96923077,22.76923077,42.18846154,42.86538462,38.32307692,38.67692308,48.96153846,30.43461538,38.98076923,42.15384615,194.36,33.25,38.85,40.2,43.65,39.2,42.75,50.85,48.575,45.2,43.6,41.75,21.23611111,9.608333333,5.080555556,35.51111111,15.14722222,14.09166667,48728.84314,12,2289.638374,2289.638374,2289.638374
Greece,18.7,45.7,5.3,67.9,1.4,7.5,68.9,68,27.3,19.2,40.5,6.1,69.1,1,7.1,27.3,,23.85,22.125,30.75,28.325,27.25,30.75,,20.8,28.65,26.25,23.2,17.6,0,0,32.46666667,2.4,14.1,1348.03173,,1529.09375,1529.09375,1529.09375
Hong Kong SAR,67.85,40.3,70.93333333,78.45,99.66666667,92.96666667,61.98333333,67.15,71.05,69.31666667,46.7,71,73.88333333,99.36666667,93.45,71.33333333,,,,,,,,,,,,,,,,,,,,,,,
India,33.975,48.1625,23.3625,79.35,3.9375,1.5875,42.2625,54.2125,39.4125,31.6875,41.45,25.225,79.8625,1.2875,1.6125,38.1375,269,19.85,17.2,21.5,25.95,,22.65,,26.4,25.25,,25.475,20.2,0,0,41.3,0,0,36111.43931,27,615.1746032,615.1746032,615.1746032
Indonesia,38.14,52.24,55.68,1.76,51.82,3.22,25.34,27.04,34.9,40.125,47.375,51.575,1.8,29.15,2.85,33.225,,,27.05,26.125,25.95,,22.65,,15.2,14.15,,25.475,,,,,,,,,,,
"Iran, Islamic Republic of",8.3,27.6,6.3,98.95,11.85,1.85,57.45,60.95,27.95,8.75,21.55,7.3,98.7,4.6,2.5,27.3,,,,,,,,,,,,,,,,,,,,,,,
Ireland,38.22,39.42,37.38,31.8,92.16,50.62,80.08,56.94,40.42,38.08,37.48,39.5,29.88,91.16,60.32,40.62,224.5,27.45,35.45,40.2,36.925,27.25,36.7,,46.85,36.35,35.35,35.85,17.6,3.8,3.275,30.2,8.625,15.05,3479.40843,125,1459.574074,1459.574074,1459.574074
Israel,26.775,19.75,32.8,51.15,57.725,8.625,69.8,60.45,32.95,23.6,21.76,27.7,65,45.04,9,32.98,275.2,38.6,45.55,37.6,47.9,34.675,40,36.5,43.7,47.975,38.45,32.3,23.96666667,12.1,13.53333333,36.18333333,18.56666667,10.9,3219.30537,73,2261.253472,2261.253472,2261.253472
Italy,43.91538462,24.22307692,13.49230769,45.82307692,12.85384615,15.55384615,83.82307692,21.11538462,33.43846154,42.97692308,25.93846154,13.54615385,49.56923077,6.169230769,15.81538462,33.64615385,275.5,27.45,27.05,34.3,35.15,36.75,36.7,32.3,38.9,41.25,31.25,27.75,21.88666667,4.266666667,3.373333333,38.6,7.273333333,10.41333333,15493.86388,57,1894.701691,1894.701691,1894.701691
Japan,54.39333333,60.12,77.44,30.27333333,16.25333333,19.96666667,61,33.26,51.36666667,51.38125,54.39375,80.86875,30.76875,5.35625,19.2875,49.76875,241.6428571,30.6,31.6,21.5,17.3,36.75,13.85,,15.2,14.15,31.25,32.3,19.84375,11.59375,9.46875,40.88125,15.8125,11.975,31428.36222,6,1690.160714,1690.160714,1690.160714
Kazakhstan,23.88,34.22,88.16,1.22,29.26,17.38,14.02,12.8,33.36,25.36666667,34.93333333,95.53333333,1.2,13.6,17.46666667,34.7,,,,,,,22.65,,,14.15,,,,,,,,,426.64463,,,,
Lebanon,27.2,40.7,62.1,20,74.9,61.8,73.8,99,38.4,27.7,54.2,62,16.9,78.6,56.7,39.2,346,23.85,31.6,33.875,30.7,32.6,28.8,,26.4,25.25,,32.3,,,,,,,,152,756.9166667,756.9166667,756.9166667
Lithuania,20,27.5,79.8,3.1,10.4,9.1,74.3,52.4,28.4,20.7,21.2,80.3,3.8,3.6,9.3,28,,15.85,17.2,27.55,17.3,,18.25,,38.9,14.15,,15.3,,,,,,,413.40774,,514.5648148,514.5648148,514.5648148
Macau SAR,9.5,9.8,16.4,84,100,98.2,49.2,73.8,34.9,10.7,6.8,18.7,70.8,100,97.1,32.9,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,41.81111111,58.51111111,60.48888889,19.08888889,43.15555556,69.05555556,62.36666667,21.35555556,44.31111111,42.7,59.7875,63.4875,22.475,33.8875,60.1625,45.15,340.6,23.85,22.125,34.3,21.625,27.25,28.8,,20.8,25.25,38.45,25.475,19.1,0,0,35.75,1.4,15.05,3343.81241,191,1395.543651,1395.543651,1395.543651
Mexico,53.23333333,63.93333333,72.03333333,2.2,24.1,10.33333333,52.7,82.23333333,44.46666667,69.8,91.8,65.7,2.75,38.25,6.2,53.25,344,42.75,26.325,24.525,17.3,40.15,13.85,37,15.2,14.15,26.25,15.3,26.6,12.4,0,52.4,11.4,0,11753.63763,91,1243.222222,1243.222222,1243.222222
Netherlands,44.11538462,34.31538462,36.09230769,68.00769231,83.86153846,61.82307692,87,34.03076923,49.44615385,44.56923077,41.84615385,40.53846154,73.13076923,76.55384615,60.4,51.81538462,136.8461538,45.6,55.3,53.85,46.7,49.8,52.25,53.4,57,59.65,62.5,57.2,31.40909091,7.845454545,6.263636364,46.82727273,16.70909091,25.4,15235.59105,51,4155.982906,4155.982906,4155.982906
New Zealand,35.825,25.6125,19.9125,38.425,99.4,76.7,64.6375,54.6,37.575,37.3375,30.2375,20.575,37.15,99.55,77.5375,38.525,312.25,30.6,35.45,43.85,30.7,32.6,32.7,37,41.3,38.8,31.25,38.75,21.175,6.2,0,33.35,8.65,12.325,3176.11128,81,1386.650794,1386.650794,1386.650794
Norway,33.75,13.375,64.625,34.55,80.15,13.85,89.675,39.55,39.575,33.925,13.825,66.475,35.55,74.4,14.25,39.95,230.5,31.925,26.325,41.55,35.15,44.05,34.7,44.7,47.15,44.75,34.85,40.25,23.46666667,13.73333333,17.66666667,45.4,15.23333333,14.1,8348.33361,102,2244.425926,2244.425926,2244.425926
Oman,15,16.9,67.3,14.3,100,3.7,86.8,63.4,29.3,14.8,13.7,76.9,12.1,100,3.9,30.4,,,,21.5,,,22.65,,26.4,,,,,,,,,,,,479.3611111,479.3611111,479.3611111
Pakistan,16.8,53.05,39.8,52.7,3.4,4.15,57.35,15.6,31.1,16.6,43.7,40.1,53.7,1.3,3.3,30.15,,,31.6,29.15,35.15,,28.8,,15.2,25.25,,15.3,,,,,,,,,534.9563492,534.9563492,534.9563492
Peru,43.8,63.2,27.7,1.8,4.3,1.5,34.5,48.9,30.2,39.9,66.1,25.6,1.7,1.6,1.7,28.3,,,,30.75,,,22.65,,32.65,32.05,,23.2,,,,,,,1309.434,,,,
Philippines,32.4,47.6,46.8,1.8,2.1,1.3,41.1,46.4,27.7,33.9,42.1,48.3,1.9,1.1,1.4,28.1,,,,45.5,17.3,,25.725,,15.2,25.25,,23.2,,,,,,,,,,,
Poland,43.45,59.2,50.5,6.85,6.8,10.6,80.4,46.15,35.85,42.05,49.85,50.2,6.15,2.2,10.85,33.85,352,15.85,17.2,27.9,21.625,22.6,18.25,,15.2,25.25,21.25,15.3,18.65,12.7,0,35.25,8.45,4.8,6042.84411,,762.6310764,762.6310764,762.6310764
Portugal,35.5,19.65,16.15,45.8,13.325,39.425,91.675,40.95,31.35,33.65,21.975,17.45,39.825,4.2,42.775,29.6,340.5,23.85,27.05,29.15,30.7,37.975,32.7,26.95,32.65,32.05,31.25,27.75,20.8,0,2,38.875,7.85,7.2,1820.10746,,2001.503472,2001.503472,2001.503472
