"institution","location","size","focus","research","age band","QS2023 Academic Reputation","QS2023 Employer Reputation","QS2023 Faculty Student Ratio","QS2023 Citations per Faculty","QS2023 International Research Network","QS2023 Employment Outcomes","QS2023 Score","QS2022 Academic Reputation","QS2022 Employer Reputation","QS2022 Faculty Student Ratio","QS2022 Citations per Faculty","QS2022 Score","THE2020 Arts","THE2020 Business/Economics","THE2020 Medicine","THE2020 Computer Science","THE2020 Education","THE2020 Engineering","THE2020 Law","THE2020 Life Sciences","THE2020 Physical Sciences","THE2020 Psychology","THE2020 Social Sciences","ARWU2018 Academic Performance per Capita"
"Massachusetts Institute of Technology (MIT) ","United States","M","CO","VH","100+ Years",100,100,100,100,96.1,100,100,100,100,100,100,100,,,,,,,,,,,,
"University of Cambridge","United Kingdom","L","FC","VH","100+ Years",100,100,100,92.3,99.5,100,98.8,100,100,100,92.1,98.7,86.7,88.8,80.4,89.9,83.4,95.2,81,96.2,94.6,,87.9,59.5
"Stanford University","United States","L","FC","VH","100+ Years",100,100,100,99.9,96.3,100,98.5,100,100,100,99.9,98.7,89.9,91.6,79.7,91.9,93,95.4,82.3,93.4,94.6,87.1,90,56
"University of Oxford","United Kingdom","L","FC","VH","100+ Years",100,100,100,90,99.9,100,98.4,100,100,100,96,99.5,86.4,91.2,84.7,92.1,87.1,95,78.3,95.3,93.8,,93.4,46.8
"Harvard University","United States","L","FC","VH","100+ Years",100,100,99.4,100,100,100,97.6,100,100,99.1,100,98,84.3,86,82.7,87.1,90.7,95.2,74.1,95.6,94.2,81,90.2,79.6
"California Institute of Technology (Caltech)","United States","S","CO","VH","100+ Years",96.5,87.1,100,100,73,98.8,97,96.7,89.9,100,100,97.4,,,,,,,,,,,,
"Imperial College London","United Kingdom","L","FC","VH","100+ Years",98.3,99.7,99.5,86.5,98.1,88.8,97,98.4,99.8,99.8,88.1,97.3,,,80,87.2,,88.6,,87.1,89.3,,,39.1
"UCL","United Kingdom","XL","FC","VH","100+ Years",99.4,98.6,97.6,77,100,90.3,95,99.4,98.9,99,78,95.4,84,78.1,78.1,83.2,76.4,67.3,73,90.1,75.4,82.4,82.6,
"ETH Zurich - Swiss Federal Institute of Technology","Switzerland","L","CO","VH","100+ Years",98.6,91.3,74.2,99.2,96.2,91.1,93.6,98.7,95.3,80.4,99.8,95.4,,,,,,,,,,,,
"University of Chicago","United States","L","FC","VH","100+ Years",99.2,92.2,92.9,86.8,89.6,98.2,93.2,99.2,93.5,95.5,90.6,94.5,,,,,,,,,,,,44.2
"National University of Singapore (NUS)","Singapore","XL","FC","VH","25-49 Years",99.5,94.1,79.8,91.8,89.9,99.6,92.7,99.6,97.1,86.8,90.6,93.9,,,,,,,,,,,,
"Peking University","China (Mainland)","XL","FC","VH","100+ Years",99.3,96.5,87.3,96.7,77.5,91.4,91.3,99.4,98.2,83.5,89.5,88.8,70.8,79,69,80.7,79.8,88.2,,85,84.7,57.8,78.6,22.6
"University of Pennsylvania","United States","L","FC","VH","100+ Years",96.5,92.5,99.9,70.9,93.3,100,90.6,96.2,93.8,100,74,90.7,78.4,86.2,76.3,77.1,84.5,73.7,67.5,86.2,74.2,83.4,81.7,39.7
"Tsinghua University","China (Mainland)","XL","FC","VH","50-99 Years",98.9,97.7,92.8,98.1,75.5,87.1,90.1,98.6,97.6,90.6,96,89,59.2,80.6,67.9,85,,85.1,,87.6,82.6,,72.4,24.1
"The University of Edinburgh","United Kingdom","XL","FC","VH","100+ Years",98,97.2,81.1,70.1,98.7,54.3,89.5,98,97.3,83.5,69.5,89.9,,,,,,,,,,,,28.7
"EPFL","Switzerland","M","FO","VH","100+ Years",83.7,71.8,91.1,99.4,87.3,28,89.2,82.4,79.7,94.8,99.8,90.2,,,,,,,,,,,,
"Princeton University","United States","M","CO","VH","100+ Years",99.9,98.9,72.6,100,78.5,100,89.2,99.9,99.2,68.7,100,88.6,83.1,,,86.3,,92,,92.2,95.8,84.3,87.3,73.3
"Yale University","United States","M","FC","VH","100+ Years",99.9,100,100,51.5,92,100,89,99.9,100,100,59.9,90.2,81.8,85.8,77.3,79.9,,84.3,79.3,91.7,88.1,79.5,86.5,35.7
"Nanyang Technological University, Singapore (NTU)","Singapore","L","FC","VH","25-49 Years",90.4,76.1,83.2,94.1,89.6,84.6,88.4,91.1,85,89.5,95.5,90.8,,,,,,,,,,,,
"Cornell University","United States","L","FC","VH","100+ Years",98.3,91.4,62.2,99.3,90,99.5,87.2,98.4,93.9,61.3,98.9,88.3,68,76,,85.2,,78.2,67.5,86.9,85.7,74.1,78.5,43.4
