Country,ar score_QS2023,er score_QS2023,fsr score_QS2023,cpf score_QS2023,ifr score_QS2023,isr score_QS2023,irn score,ger score,score scaled_QS2023,ar score_QS2022,er score_QS2022,fsr score_QS2022,cpf score_QS2022,ifr score_QS2022,isr score_QS2022,score scaled_QS2022,ARTU Rank,arts_and_humanities,business_and_economics,clinical_preclinical_and_health,computer_science,education,engineering_and_technology,law,life_sciences,phyiscal_sciences,psychology,social_sciences,PCP,Alumni,Award,PUB,N&S,Hi Ci,Expenditure (constant US$ millions),Global University Employability Rank 2020
Argentina,34.975,44.975,85.375,1.4500000000000002,24.525,45.625,19.775,20.925,39.575,28.32,41.7,88.62,1.36,14.279999999999998,43.06,36.52,,15.85,,21.5,,,18.25,,15.2,19.7,21.25,19.25,22.0,14.4,23.7,35.7,8.7,0.0,5151.58676,140.0
Australia,43.89166666666667,42.87916666666666,16.474999999999998,77.16250000000001,94.775,79.90416666666667,85.79583333333333,40.208333333333336,49.5625,42.87692307692308,44.79230769230769,16.876923076923077,68.65,96.4076923076923,81.07692307692308,47.81923076923077,183.04,30.6,38.85,38.900000000000006,41.5,41.1,46.75,45.4,47.15,50.75,35.35,38.75,27.10869565217392,4.3478260869565215,2.0,44.27391304347826,13.217391304347826,19.44782608695652,16031.0213,88.0
Austria,24.883333333333336,22.066666666666663,56.23333333333333,26.766666666666666,88.93333333333334,74.03333333333335,70.01666666666667,43.56666666666666,37.06666666666667,29.7,25.42,55.720000000000006,33.120000000000005,82.84,71.32000000000001,40.06,269.0,30.6,35.225,37.6,40.1,39.2,36.7,46.4,38.9,38.8,43.6,41.75,24.05,4.9,4.65,28.98333333333333,13.266666666666666,12.216666666666669,7447.18048,119.5
Belarus,24.2,39.7,96.8,1.3,3.4,48.2,46.2,29.9,36.0,21.5,40.2,98.0,1.4,1.4,43.0,34.9,,,,,,,22.65,,,14.15,,,,,,,,,,
Belgium,38.84285714285714,29.857142857142858,44.371428571428574,47.75714285714286,85.2,44.2,89.75714285714285,40.271428571428565,43.642857142857146,36.7625,27.65,43.45,50.025,73.4125,46.4,42.3375,194.875,35.599999999999994,41.45,41.2,41.5,52.4,42.75,38.3,47.15,50.425,40.95,47.150000000000006,29.785714285714285,7.942857142857143,7.5,42.17142857142857,14.042857142857144,16.428571428571427,7805.06808,110.0
Brazil,53.38,31.24,33.12,23.22,7.3199999999999985,2.26,75.17999999999999,30.08,36.4,51.1,31.62,34.480000000000004,23.92,2.38,2.8,35.68,213.0,15.85,17.200000000000003,21.5,17.299999999999997,17.950000000000003,13.85,45.0,15.2,14.15,21.25,15.3,20.633333333333333,0.0,0.0,48.68333333333334,7.25,0.0,25488.89488,109.0
Brunei,15.55,8.4,95.8,8.05,99.5,37.0,24.05,1.0,34.85,16.3,10.8,95.1,7.5,99.85,37.3,35.15,,,,,,,,,,,,,,,,,,,,
Canada,42.92941176470588,49.588235294117645,31.170588235294115,52.1,85.3529411764706,67.51764705882353,83.81176470588235,46.8,46.65294117647059,42.5,50.53529411764706,32.141176470588235,56.794117647058826,82.39411764705882,69.13529411764705,47.629411764705885,178.58823529411765,27.45,31.6,43.85,36.925,39.2,36.7,39.7,43.7,41.25,38.45,32.3,22.89444444444445,6.877777777777777,4.166666666666667,46.27222222222222,15.266666666666667,17.605555555555554,27423.89766,77.0
Chile,70.93333333333334,82.73333333333333,14.366666666666667,10.433333333333334,11.433333333333332,3.966666666666667,68.9,45.8,42.6,67.96666666666667,84.33333333333333,14.466666666666669,11.366666666666667,3.866666666666666,3.733333333333333,41.333333333333336,345.5,15.85,22.125,24.525,35.15,27.35,22.65,21.6,15.2,25.25,21.25,19.25,18.0,3.6,0.0,35.25,10.05,0.0,3793.03305,205.0
China (Mainland),34.721428571428575,30.446428571428573,41.86071428571428,79.02142857142857,25.264285714285712,12.864285714285714,65.73928571428571,28.61785714285714,43.22857142857144,37.45,29.47307692307692,43.65384615384615,75.77692307692308,20.946153846153848,14.85,43.78846153846154,,,,,,,,,,,,,,,,,,,,
